job_title,required_skills,salary,SDG_category,min_education,training_duration,pathway_steps,training_providers_link
Sanitation Worker,"cleaning, hygiene, equipment operation",8k-14k,SDG6,8th_pass,2,"1. Basic education|2. Sanitation training|3. Equipment operation|4. Join municipal corporation","https://swachhbharatmission.gov.in/training"
Waste Management Supervisor,"management, organization, technical knowledge",12k-20k,SDG12,12th_pass,6,"1. Complete 12th standard|2. Waste management course|3. On-site training|4. Join waste management company","https://www.nsdcindia.org/waste-management"
Solar Panel Cleaner,"cleaning, height comfort, safety awareness",8k-12k,SDG7,8th_pass,1,"1. Basic education|2. Safety training|3. Cleaning techniques|4. Join solar maintenance company","https://skillindia.gov.in/solar-maintenance"
Biogas Plant Operator,"technical skills, maintenance, safety protocols",12k-20k,SDG7,10th_pass,4,"1. Complete 10th standard|2. Biogas technology course|3. Plant operation training|4. Join biogas project","https://www.mnre.gov.in/biogas-training"
Wind Turbine Technician,"technical skills, height comfort, maintenance",15k-25k,SDG7,12th_pass,12,"1. Complete 12th standard|2. Wind energy course|3. Technical training|4. Join wind energy company","https://www.nsdcindia.org/wind-energy"
E-Rickshaw Driver,"driving skills, customer service, basic maintenance",10k-16k,SDG11,8th_pass,2,"1. Basic education|2. Driving license|3. E-vehicle training|4. Join e-rickshaw service","https://morth.nic.in/e-mobility"
Cycle Repair Technician,"technical skills, problem solving, customer service",8k-14k,SDG11,8th_pass,3,"1. Basic education|2. Cycle repair training|3. Apprenticeship|4. Start repair shop","https://skillindia.gov.in/automobile"
Tour Guide,"communication, local knowledge, history",10k-18k,SDG8,12th_pass,4,"1. Complete 12th standard|2. Guide training course|3. Local knowledge|4. Get licensed","https://tourism.gov.in/guide-training"
Homestay Manager,"hospitality, management, customer service",12k-20k,SDG8,12th_pass,6,"1. Complete 12th standard|2. Hospitality course|3. Business management|4. Start homestay","https://tourism.gov.in/homestay"
Adventure Sports Instructor,"sports skills, safety awareness, first aid",15k-25k,SDG8,12th_pass,12,"1. Complete 12th standard|2. Adventure sports course|3. Safety certification|4. Join adventure company","https://www.nsdcindia.org/adventure-sports"
Photography Guide,"photography, local knowledge, customer service",10k-18k,SDG8,12th_pass,6,"1. Complete 12th standard|2. Photography course|3. Local area expertise|4. Start photography tours","https://skillindia.gov.in/photography"
Nature Conservation Guide,"environment knowledge, communication, hiking",12k-20k,SDG15,12th_pass,6,"1. Complete 12th standard|2. Environment science basics|3. Guide training|4. Join eco-tourism","https://www.moef.gov.in/training"
Computer Teacher,"computer skills, teaching, patience",12k-20k,SDG4,12th_pass,6,"1. Complete 12th standard|2. Computer course|3. Teaching certification|4. Join school/training center","https://www.education.gov.in/digital-learning"
Spoken English Trainer,"english fluency, teaching, communication",12k-22k,SDG4,graduate,6,"1. Complete graduation|2. English teaching course|3. Practice teaching|4. Join language institute","https://www.nsdcindia.org/english-training"
Accountant Assistant,"math, accounting basics, computer skills",12k-20k,SDG8,12th_pass,6,"1. Complete 12th standard|2. Accounting course|3. Tally training|4. Join accounting firm","https://skillindia.gov.in/accounting"
Banking Correspondent,"math, communication, customer service",12k-18k,SDG8,12th_pass,4,"1. Complete 12th standard|2. Banking course|3. Customer service training|4. Join bank BC program","https://www.nabard.org/bc-training"
Insurance Agent,"communication, sales skills, product knowledge",10k-20k,SDG8,12th_pass,3,"1. Complete 12th standard|2. Insurance training|3. License exam|4. Join insurance company","https://www.irdai.gov.in/agent-training"
Micro-Enterprise Owner,"management, entrepreneurship, business skills",15k-30k,SDG8,12th_pass,12,"1. Complete 12th standard|2. Business management course|3. Mentorship|4. Start small business","https://www.kviconline.gov.in/entrepreneurship"
Packaging Assistant,"organization, attention to detail, quality check",8k-14k,SDG12,10th_pass,2,"1. Complete 10th standard|2. Packaging training|3. Quality control|4. Join manufacturing unit","https://www.nsdcindia.org/packaging"
Warehouse Helper,"organization, physical strength, inventory basics",8k-13k,SDG9,8th_pass,2,"1. Basic education|2. Warehouse training|3. Inventory management|4. Join logistics company","https://skillindia.gov.in/logistics"
Delivery Personnel,"driving, navigation, customer service",10k-16k,SDG9,8th_pass,2,"1. Basic education|2. Driving license|3. Navigation training|4. Join delivery service","https://www.nsdcindia.org/logistics"
Customer Support Executive,"communication, problem solving, computer skills",12k-18k,SDG8,12th_pass,4,"1. Complete 12th standard|2. Communication training|3. Computer skills|4. Join call center","https://skillindia.gov.in/customer-service"
Social Media Assistant,"computer skills, creativity, content writing",12k-20k,SDG9,12th_pass,4,"1. Complete 12th standard|2. Social media course|3. Content creation|4. Join digital marketing firm","https://www.nsdcindia.org/digital-marketing"
Content Writer,"writing, research, language skills",12k-22k,SDG4,graduate,6,"1. Complete graduation|2. Writing course|3. Portfolio development|4. Join content agency","https://skillindia.gov.in/content-writing"
Video Editor,"technical skills, creativity, software knowledge",15k-25k,SDG9,12th_pass,12,"1. Complete 12th standard|2. Video editing course|3. Software training|4. Join media company","https://www.nsdcindia.org/media"
